Date,Open,High,Low,Close,Volume,Change,Change Percent,VWAP
5/2/2024,172.51,173.42,170.89,173.03,94214915,0.52,0.30143,172.4625
5/3/2024,186.65,187,182.66,183.38,163224109,-3.27,-1.75,184.9225
5/6/2024,182.35,184.2,180.42,181.71,78569700,-0.644,-0.35097,182.17
5/7/2024,183.45,184.9,181.32,182.4,77305800,-1.05,-0.57236,183.0175
5/8/2024,182.85,183.07,181.45,182.74,45057100,-0.11,-0.0601586,182.5275
5/9/2024,182.56,184.66,182.11,184.57,48983000,2.01,1.1,183.475
5/10/2024,184.9,185.09,182.13,183.05,50759500,-1.85,-1,183.7925
5/13/2024,185.44,187.1,184.62,186.28,72044809,0.845,0.45298,185.86
5/14/2024,187.51,188.3,186.29,187.43,52393619,-0.08,-0.04266439,187.3825
5/15/2024,187.91,190.65,187.37,189.72,70400000,1.81,0.96323,188.9125
5/16/2024,190.47,191.1,189.66,189.84,52845230,-0.63,-0.33076,190.2675
5/17/2024,189.51,190.81,189.18,189.87,41282925,0.36,0.18996,189.8425
5/20/2024,189.33,191.92,189.01,191.04,44361300,1.72,0.90318,190.325
5/21/2024,191.09,192.73,190.92,192.35,42309401,1.26,0.65938,191.7725
5/22/2024,192.27,192.82,190.27,190.9,34648547,-1.36,-0.71254,191.565
5/23/2024,190.98,191,186.63,186.88,51005924,-4.1,-2.15,188.8725
5/24/2024,188.82,190.58,188.04,189.98,36327000,1.16,0.61434,189.355
5/28/2024,191.51,193,189.1,189.99,52280100,-1.52,-0.79369,190.9
5/29/2024,189.61,192.25,189.51,190.29,53068016,0.68,0.35863,190.415
5/30/2024,190.76,192.18,190.63,191.29,49947941,0.53,0.27784,191.215
5/31/2024,191.44,192.57,189.91,192.25,75158300,0.81,0.42311,191.5425
6/3/2024,192.9,194.99,192.52,194.03,50080539,1.13,0.5858,193.61
6/4/2024,194.64,195.32,193.03,194.35,47471445,-0.285,-0.14899,194.335
6/5/2024,195.4,196.9,194.87,195.87,54156800,0.47,0.24053,195.76
6/6/2024,195.69,196.5,194.17,194.48,41181800,-1.21,-0.61832,195.21
6/7/2024,194.65,196.94,194.14,196.89,53103912,2.24,1.15,195.655
6/10/2024,196.9,197.3,192.15,193.12,97262077,-3.78,-1.92,194.8675
6/11/2024,193.65,207.16,193.63,207.15,172373300,13.5,6.97,200.3975
6/12/2024,207.37,220.2,206.9,213.07,198134300,5.7,2.75,211.885
6/13/2024,214.74,216.75,211.6,214.24,97862729,-0.5,-0.23284,214.3325
6/14/2024,213.85,215.17,211.3,212.49,70122748,-1.36,-0.63596,213.2025
6/17/2024,213.37,218.95,212.72,216.67,93728300,3.3,1.55,215.4275
6/18/2024,217.59,218.63,213,214.29,79943300,-3.3,-1.52,215.8775
6/20/2024,213.93,214.24,208.85,209.68,86172500,-4.25,-1.99,211.675
